"GEOID","NAME","variable","estimate","moe","summary_est","summary_moe","state","zip"
"0693240","ZCTA5 93240","B01001_001",6327,940,6327,940,"06","93240"
"0693241","ZCTA5 93241","B01001_001",16397,1048,16397,1048,"06","93241"
"0693242","ZCTA5 93242","B01001_001",3474,437,3474,437,"06","93242"
"0693243","ZCTA5 93243","B01001_001",1532,578,1532,578,"06","93243"
"0693244","ZCTA5 93244","B01001_001",308,163,308,163,"06","93244"
"0693245","ZCTA5 93245","B01001_001",38480,714,38480,714,"06","93245"
"0693247","ZCTA5 93247","B01001_001",18234,716,18234,716,"06","93247"
"0693249","ZCTA5 93249","B01001_001",1875,245,1875,245,"06","93249"
"0693250","ZCTA5 93250","B01001_001",16191,622,16191,622,"06","93250"
"0693251","ZCTA5 93251","B01001_001",202,64,202,64,"06","93251"
"0693252","ZCTA5 93252","B01001_001",2488,284,2488,284,"06","93252"
"0693254","ZCTA5 93254","B01001_001",786,184,786,184,"06","93254"
"0693255","ZCTA5 93255","B01001_001",691,253,691,253,"06","93255"
"0693256","ZCTA5 93256","B01001_001",5431,687,5431,687,"06","93256"
"0693257","ZCTA5 93257","B01001_001",76519,1345,76519,1345,"06","93257"
"0693258","ZCTA5 93258","B01001_001",1952,490,1952,490,"06","93258"
"0693260","ZCTA5 93260","B01001_001",226,128,226,128,"06","93260"
"0693261","ZCTA5 93261","B01001_001",2434,330,2434,330,"06","93261"
"0693262","ZCTA5 93262","B01001_001",53,40,53,40,"06","93262"
"0693263","ZCTA5 93263","B01001_001",22210,535,22210,535,"06","93263"
"0693265","ZCTA5 93265","B01001_001",3379,538,3379,538,"06","93265"
"0693266","ZCTA5 93266","B01001_001",1337,487,1337,487,"06","93266"
"0693267","ZCTA5 93267","B01001_001",6788,1013,6788,1013,"06","93267"
"0693268","ZCTA5 93268","B01001_001",18731,892,18731,892,"06","93268"
"0693270","ZCTA5 93270","B01001_001",5367,596,5367,596,"06","93270"
"0693271","ZCTA5 93271","B01001_001",2479,377,2479,377,"06","93271"
"0693272","ZCTA5 93272","B01001_001",4707,563,4707,563,"06","93272"
"0693274","ZCTA5 93274","B01001_001",74000,829,74000,829,"06","93274"
"0693276","ZCTA5 93276","B01001_001",144,66,144,66,"06","93276"
"0693277","ZCTA5 93277","B01001_001",52271,1373,52271,1373,"06","93277"
"0693280","ZCTA5 93280","B01001_001",28138,267,28138,267,"06","93280"
"0693283","ZCTA5 93283","B01001_001",2261,538,2261,538,"06","93283"
"0693285","ZCTA5 93285","B01001_001",2477,487,2477,487,"06","93285"
"0693286","ZCTA5 93286","B01001_001",9906,387,9906,387,"06","93286"
"0693287","ZCTA5 93287","B01001_001",72,42,72,42,"06","93287"
"0693291","ZCTA5 93291","B01001_001",59270,1925,59270,1925,"06","93291"
"0693292","ZCTA5 93292","B01001_001",42031,1894,42031,1894,"06","93292"
"0693301","ZCTA5 93301","B01001_001",12325,1215,12325,1215,"06","93301"
"0693304","ZCTA5 93304","B01001_001",49115,1735,49115,1735,"06","93304"
"0693305","ZCTA5 93305","B01001_001",37902,1835,37902,1835,"06","93305"
"0693306","ZCTA5 93306","B01001_001",72280,1882,72280,1882,"06","93306"
"0693307","ZCTA5 93307","B01001_001",86832,2999,86832,2999,"06","93307"
"0693308","ZCTA5 93308","B01001_001",53981,1957,53981,1957,"06","93308"
"0693309","ZCTA5 93309","B01001_001",58538,1435,58538,1435,"06","93309"
"0693311","ZCTA5 93311","B01001_001",45481,1923,45481,1923,"06","93311"
"0693312","ZCTA5 93312","B01001_001",61628,1914,61628,1914,"06","93312"
"0693313","ZCTA5 93313","B01001_001",55221,2208,55221,2208,"06","93313"
"0693314","ZCTA5 93314","B01001_001",28963,1490,28963,1490,"06","93314"
"0693401","ZCTA5 93401","B01001_001",28854,747,28854,747,"06","93401"
"0693402","ZCTA5 93402","B01001_001",16562,620,16562,620,"06","93402"
"0693405","ZCTA5 93405","B01001_001",35898,1037,35898,1037,"06","93405"
"0693410","ZCTA5 93410","B01001_001",0,12,0,12,"06","93410"
"0693420","ZCTA5 93420","B01001_001",30740,961,30740,961,"06","93420"
"0693422","ZCTA5 93422","B01001_001",33466,644,33466,644,"06","93422"
"0693424","ZCTA5 93424","B01001_001",795,261,795,261,"06","93424"
"0693426","ZCTA5 93426","B01001_001",1568,307,1568,307,"06","93426"
"0693427","ZCTA5 93427","B01001_001",6200,487,6200,487,"06","93427"
"0693428","ZCTA5 93428","B01001_001",5859,319,5859,319,"06","93428"
"0693429","ZCTA5 93429","B01001_001",144,75,144,75,"06","93429"
"0693430","ZCTA5 93430","B01001_001",2847,320,2847,320,"06","93430"
"0693432","ZCTA5 93432","B01001_001",1503,409,1503,409,"06","93432"
"0693433","ZCTA5 93433","B01001_001",13535,24,13535,24,"06","93433"
"0693434","ZCTA5 93434","B01001_001",7451,22,7451,22,"06","93434"
